Age,Sex,Grade,Height,Weight,Bullied_at_School
14 years old,Female,9th grade,1.55,47.17,No
18 years old or older,Female,12th grade,1.55,58.97,No
15 years old,Male,10th grade,1.73,63.5,No
14 years old,Female,9th grade,1.63,45.36,No
16 years old,Male,11th grade,1.75,63.5,No
14 years old,Male,9th grade,1.63,40.82,No
16 years old,Male,10th grade,1.65,81.65,No
16 years old,Female,11th grade,1.7,56.7,No
15 years old,Female,9th grade,1.57,55.79,No
14 years old,Female,9th grade,1.57,54.43,No
15 years old,Male,9th grade,1.7,66.23,No
15 years old,Male,9th grade,1.63,63.5,No
15 years old,Male,10th grade,1.8,133.81,Yes
17 years old,Female,11th grade,1.52,45.36,No
16 years old,Male,10th grade,1.68,56.7,No
16 years old,Female,11th grade,1.6,52.16,No
14 years old,Male,9th grade,1.6,50.8,Yes
18 years old or older,Female,12th grade,1.65,54.43,No
16 years old,Male,11th grade,1.75,84.82,No
18 years old or older,Female,12th grade,1.6,77.11,No
14 years old,Male,9th grade,1.63,63.5,No
14 years old,Male,9th grade,1.6,48.54,No
15 years old,Female,10th grade,1.57,46.72,No
15 years old,Male,10th grade,1.68,58.97,No
16 years old,Male,10th grade,1.8,68.04,No
16 years old,Male,11th grade,1.88,104.33,No
16 years old,Female,10th grade,1.68,68.04,No
15 years old,Female,9th grade,1.57,56.7,No
17 years old,Male,12th grade,1.65,90.72,No
17 years old,Female,11th grade,1.73,56.7,No
16 years old,Male,11th grade,1.85,77.11,No
18 years old or older,Male,12th grade,1.8,111.13,No
16 years old,Female,11th grade,1.57,58.97,No
16 years old,Male,10th grade,1.83,63.5,No
15 years old,Female,10th grade,1.73,53.52,No
16 years old,Male,10th grade,1.68,74.84,No
16 years old,Male,10th grade,1.85,81.65,No
17 years old,Female,12th grade,1.57,47.63,No
15 years old,Female,10th grade,1.6,52.16,No
16 years old,Male,11th grade,1.83,105.24,No
16 years old,Male,10th grade,1.75,60.78,No
17 years old,Male,11th grade,1.93,64.86,Yes
15 years old,Male,10th grade,1.83,108.86,No
17 years old,Male,11th grade,1.68,54.43,No
15 years old,Male,9th grade,1.75,63.5,No
14 years old,Male,9th grade,1.7,67.13,Yes
15 years old,Male,10th grade,1.78,92.99,No
17 years old,Male,11th grade,1.7,70.31,Yes
16 years old,Male,11th grade,1.78,54.43,No
15 years old,Male,10th grade,1.8,95.26,No
16 years old,Male,11th grade,1.73,87.54,No
17 years old,Female,12th grade,1.57,58.97,No
16 years old,Female,11th grade,1.63,63.5,No
17 years old,Male,12th grade,1.8,74.84,No
17 years old,Female,11th grade,1.65,52.16,No
16 years old,Male,10th grade,1.88,103.42,No
15 years old,Male,9th grade,1.73,56.7,No
16 years old,Male,11th grade,1.85,102.06,No
16 years old,Female,10th grade,1.55,58.97,No
16 years old,Male,11th grade,1.73,65.77,No
14 years old,Male,9th grade,1.68,52.62,Yes
15 years old,Female,10th grade,1.57,44.45,No
17 years old,Male,12th grade,1.8,70.31,No
17 years old,Male,12th grade,1.63,61.24,Yes
14 years old,Male,9th grade,1.8,61.24,No
16 years old,Female,10th grade,1.6,86.18,Yes
16 years old,Male,11th grade,1.85,81.65,No
14 years old,Male,9th grade,1.7,54.43,Yes
18 years old or older,Male,12th grade,1.8,71.67,No
16 years old,Male,11th grade,1.78,58.51,No
16 years old,Male,10th grade,1.75,117.94,Yes
16 years old,Female,10th grade,1.6,63.5,No
14 years old,Female,9th grade,1.57,56.7,No
17 years old,Female,11th grade,1.68,83.92,No
16 years old,Female,10th grade,1.6,68.04,No
17 years old,Male,11th grade,1.75,54.43,No
17 years old,Male,11th grade,1.68,85.73,No
15 years old,Male,9th grade,1.63,92.53,No
15 years old,Male,9th grade,1.63,88.91,No
15 years old,Female,10th grade,1.6,47.63,No
17 years old,Female,12th grade,1.65,58.06,No
16 years old,Female,10th grade,1.63,61.69,No
17 years old,Male,12th grade,1.8,79.38,No
18 years old or older,Male,12th grade,1.85,102.06,No
17 years old,Male,12th grade,1.73,81.65,No
17 years old,Female,12th grade,1.6,64.86,No
18 years old or older,Male,12th grade,1.8,81.65,No
15 years old,Female,10th grade,1.63,54.43,No
17 years old,Female,11th grade,1.65,99.79,No
17 years old,Female,12th grade,1.63,77.11,No
16 years old,Male,11th grade,1.85,74.84,No
14 years old,Male,9th grade,1.75,65.77,No
14 years old,Male,9th grade,1.75,61.24,No
15 years old,Female,10th grade,1.75,63.5,No
18 years old or older,Female,12th grade,1.42,56.7,No
16 years old,Male,10th grade,1.83,68.04,No
17 years old,Female,12th grade,1.52,51.71,No
16 years old,Female,11th grade,1.7,79.38,No
16 years old,Male,9th grade,1.75,56.7,No
15 years old,Female,9th grade,1.8,68.04,No
15 years old,Female,10th grade,1.57,52.16,No
18 years old or older,Male,12th grade,1.88,128.82,No
15 years old,Male,10th grade,1.68,75.75,No
16 years old,Female,11th grade,1.65,63.5,No
18 years old or older,Male,12th grade,1.83,149.69,Yes
15 years old,Male,9th grade,1.68,56.7,No
15 years old,Male,9th grade,1.83,54.43,No
17 years old,Female,11th grade,1.5,74.84,No
16 years old,Male,10th grade,1.73,87.54,No
15 years old,Female,10th grade,1.68,56.7,No
16 years old,Male,11th grade,1.7,63.5,No
17 years old,Male,12th grade,1.83,84.37,No
14 years old,Female,9th grade,1.65,97.52,No
15 years old,Female,9th grade,1.7,65.77,No
17 years old,Female,12th grade,1.7,59.88,No
17 years old,Female,12th grade,1.65,50.8,No
15 years old,Male,9th grade,1.78,54.43,No
17 years old,Female,12th grade,1.63,87.54,No
15 years old,Female,9th grade,1.52,56.7,No
16 years old,Male,11th grade,1.57,63.5,No
15 years old,Female,10th grade,1.68,88.45,No
14 years old,Female,9th grade,1.47,49.9,No
15 years old,Female,9th grade,1.68,45.36,No
15 years old,Male,9th grade,1.85,74.84,No
18 years old or older,Female,12th grade,1.78,83.92,No
15 years old,Male,9th grade,1.73,92.99,No
15 years old,Female,10th grade,1.63,61.24,No
18 years old or older,Female,12th grade,1.52,61.69,No
16 years old,Male,10th grade,1.75,58.97,No
17 years old,Male,11th grade,1.73,68.04,No
18 years old or older,Female,12th grade,1.63,61.24,No
18 years old or older,Male,12th grade,1.75,63.5,Yes
18 years old or older,Male,12th grade,1.75,92.99,No
14 years old,Female,9th grade,1.55,49.9,No
14 years old,Male,9th grade,1.73,58.97,Yes
15 years old,Female,9th grade,1.6,54.43,No
17 years old,Male,11th grade,1.68,55.79,Yes
17 years old,Female,11th grade,1.63,49.9,No
16 years old,Male,10th grade,1.83,95.26,No
15 years old,Male,9th grade,1.83,82.56,No
15 years old,Female,10th grade,1.55,54.43,No
16 years old,Female,10th grade,1.6,64.41,No
16 years old,Male,10th grade,1.65,67.59,No
18 years old or older,Female,12th grade,1.73,53.52,No
16 years old,Male,11th grade,1.63,58.97,No
16 years old,Male,11th grade,1.78,90.72,No
17 years old,Male,12th grade,1.78,72.58,No
17 years old,Female,11th grade,1.55,58.97,No
15 years old,Male,10th grade,1.7,65.77,No
17 years old,Male,11th grade,1.73,52.62,No
15 years old,Female,10th grade,1.7,62.6,No
15 years old,Female,9th grade,1.65,54.43,No
14 years old,Female,9th grade,1.68,54.43,No
17 years old,Female,11th grade,1.6,81.65,No
16 years old,Male,11th grade,1.73,83.92,No
14 years old,Female,9th grade,1.6,106.6,No
17 years old,Male,12th grade,1.83,90.72,No
16 years old,Female,11th grade,1.63,68.04,No
15 years old,Male,10th grade,1.73,62.6,No
14 years old,Male,9th grade,1.65,52.16,No
18 years old or older,Female,12th grade,1.63,63.5,No
16 years old,Male,11th grade,1.68,74.84,No
18 years old or older,Female,12th grade,1.47,51.26,No
17 years old,Female,11th grade,1.75,72.58,No
16 years old,Female,10th grade,1.63,83.92,No
18 years old or older,Male,12th grade,1.93,83.92,No
14 years old,Male,9th grade,1.78,68.04,No
15 years old,Female,9th grade,1.68,62.6,Yes
16 years old,Female,10th grade,1.63,63.5,No
16 years old,Female,11th grade,1.42,45.36,No
14 years old,Female,9th grade,1.5,44,No
17 years old,Male,11th grade,1.7,68.04,No
17 years old,Female,11th grade,1.65,58.97,No
17 years old,Female,12th grade,1.55,58.97,No
17 years old,Female,12th grade,1.6,97.98,No
15 years old,Female,9th grade,1.7,99.79,No
17 years old,Female,11th grade,1.6,63.5,No
16 years old,Female,10th grade,1.8,72.58,No
16 years old,Female,11th grade,1.63,78.02,No
15 years old,Male,10th grade,1.57,50.8,Yes
17 years old,Male,11th grade,1.6,68.04,Yes
15 years old,Female,9th grade,1.7,63.5,No
15 years old,Male,10th grade,1.68,52.16,Yes
14 years old,Female,9th grade,1.55,52.16,No
17 years old,Female,11th grade,1.7,89.81,No
17 years old,Male,12th grade,1.78,67.13,No
15 years old,Female,9th grade,1.83,72.58,No
16 years old,Female,10th grade,1.75,58.97,No
15 years old,Female,10th grade,1.63,54.43,No
14 years old,Female,9th grade,1.63,58.97,No
16 years old,Male,10th grade,1.75,99.79,No
15 years old,Male,10th grade,1.75,63.5,No
17 years old,Male,12th grade,1.83,59.88,No
15 years old,Male,9th grade,1.83,83.92,Yes
16 years old,Male,10th grade,1.7,63.5,Yes
14 years old,Female,9th grade,1.63,52.16,No
16 years old,Male,10th grade,1.75,85.73,Yes
15 years old,Female,9th grade,1.57,54.43,Yes
17 years old,Female,12th grade,1.7,99.79,Yes
15 years old,Male,10th grade,1.88,108.86,No
14 years old,Female,9th grade,1.65,61.24,No
18 years old or older,Female,12th grade,1.7,81.65,No
15 years old,Female,10th grade,1.52,58.97,No
14 years old,Male,9th grade,1.63,48.54,No
15 years old,Male,10th grade,1.78,104.33,No
16 years old,Female,11th grade,1.6,129.28,No
15 years old,Female,10th grade,1.75,58.97,No
16 years old,Female,10th grade,1.83,68.04,No
15 years old,Male,10th grade,1.63,113.4,No
15 years old,Female,10th grade,1.68,61.24,No
15 years old,Male,9th grade,1.75,68.04,No
16 years old,Female,10th grade,1.68,61.24,No
15 years old,Female,9th grade,1.57,52.16,Yes
17 years old,Male,11th grade,1.85,108.86,No
18 years old or older,Male,12th grade,1.83,77.11,No
17 years old,Male,11th grade,1.78,81.65,Yes
18 years old or older,Male,12th grade,1.8,72.58,No
16 years old,Female,10th grade,1.52,49.9,Yes
15 years old,Male,10th grade,1.65,66.68,No
15 years old,Female,9th grade,1.55,44.45,No
16 years old,Male,10th grade,1.7,54.89,No
15 years old,Male,9th grade,1.6,64.86,No
14 years old,Male,9th grade,1.73,55.34,No
18 years old or older,Male,12th grade,1.83,83.92,No
16 years old,Male,11th grade,1.8,73.03,No
18 years old or older,Male,12th grade,1.85,58.97,No
15 years old,Male,10th grade,1.68,59.42,No
15 years old,Male,10th grade,1.78,90.72,No
15 years old,Female,10th grade,1.52,68.04,No
14 years old,Female,9th grade,1.57,63.5,No
15 years old,Female,10th grade,1.65,63.96,No
15 years old,Female,10th grade,1.47,38.56,No
15 years old,Female,9th grade,1.6,54.89,Yes
14 years old,Female,9th grade,1.7,56.7,No
17 years old,Female,11th grade,1.73,83.92,Yes
16 years old,Male,11th grade,1.68,68.04,No
17 years old,Male,11th grade,1.8,86.18,No
15 years old,Female,10th grade,1.55,56.7,No
17 years old,Male,11th grade,1.78,74.84,No
15 years old,Male,10th grade,1.6,54.43,No
15 years old,Female,9th grade,1.68,68.04,Yes
14 years old,Male,9th grade,1.65,86.18,Yes
14 years old,Female,9th grade,1.75,72.58,Yes
16 years old,Male,10th grade,1.78,74.84,No
15 years old,Male,9th grade,1.68,65.77,No
18 years old or older,Female,12th grade,1.55,77.11,No
18 years old or older,Female,12th grade,1.68,63.5,No
16 years old,Female,10th grade,1.65,72.58,No
16 years old,Female,10th grade,1.55,44.91,Yes
14 years old,Male,9th grade,1.78,68.04,No
15 years old,Female,10th grade,1.5,58.97,No
15 years old,Male,10th grade,1.8,95.26,No
14 years old,Female,9th grade,1.57,54.43,No
16 years old,Female,10th grade,1.75,61.24,No
18 years old or older,Female,12th grade,1.5,71.22,No
16 years old,Female,11th grade,1.52,45.36,Yes
17 years old,Male,11th grade,1.7,62.6,No
18 years old or older,Female,12th grade,1.55,52.16,No
15 years old,Female,10th grade,1.57,48.08,Yes
16 years old,Male,10th grade,1.85,72.58,No
15 years old,Female,10th grade,1.45,49.9,No
17 years old,Male,12th grade,1.8,68.04,No
16 years old,Male,10th grade,1.78,45.36,No
14 years old,Male,9th grade,1.7,54.43,No
14 years old,Female,9th grade,1.68,52.16,No
16 years old,Male,10th grade,1.57,53.07,Yes
15 years old,Female,10th grade,1.65,56.7,No
17 years old,Female,11th grade,1.73,56.7,No
17 years old,Male,11th grade,1.68,75.3,Yes
15 years old,Male,9th grade,1.68,53.52,No
14 years old,Male,9th grade,1.6,49.9,No
17 years old,Male,12th grade,1.78,90.72,No
17 years old,Male,11th grade,1.75,127.01,No
15 years old,Male,10th grade,1.85,86.18,No
15 years old,Male,9th grade,1.78,104.33,No
17 years old,Male,12th grade,1.83,77.11,No
18 years old or older,Female,12th grade,1.65,47.63,No
16 years old,Female,11th grade,1.52,68.04,No
16 years old,Male,10th grade,1.73,54.43,No
17 years old,Female,11th grade,1.73,66.23,Yes
17 years old,Female,12th grade,1.65,49.9,No
16 years old,Female,11th grade,1.65,57.61,No
13 years old,Female,9th grade,1.57,45.36,No
17 years old,Female,11th grade,1.6,54.43,No
16 years old,Female,10th grade,1.63,61.24,No
17 years old,Female,11th grade,1.6,54.43,No
15 years old,Male,9th grade,1.8,77.11,No
16 years old,Male,11th grade,1.7,58.97,No
16 years old,Female,10th grade,1.5,36.29,No
17 years old,Female,12th grade,1.47,48.99,No
15 years old,Male,10th grade,1.88,66.23,Yes
14 years old,Male,9th grade,1.7,81.65,No
15 years old,Female,9th grade,1.55,53.52,No
16 years old,Male,11th grade,1.73,64.86,No
14 years old,Male,9th grade,1.68,104.33,No
18 years old or older,Male,12th grade,1.83,71.22,No
16 years old,Male,10th grade,1.7,68.04,No
17 years old,Female,12th grade,1.57,47.63,No
16 years old,Female,11th grade,1.65,61.24,No
16 years old,Male,10th grade,1.75,101.15,No
15 years old,Male,9th grade,1.7,54.43,No
15 years old,Female,10th grade,1.5,51.26,No
15 years old,Male,9th grade,1.6,60.78,No
15 years old,Female,10th grade,1.75,63.5,Yes
16 years old,Female,11th grade,1.57,53.07,No
14 years old,Female,9th grade,1.65,54.43,No
17 years old,Female,11th grade,1.52,54.43,No
15 years old,Female,10th grade,1.45,41.73,No
17 years old,Male,12th grade,1.75,56.7,Yes
16 years old,Male,11th grade,1.75,76.2,No
14 years old,Female,9th grade,1.55,48.54,Yes
16 years old,Female,10th grade,1.65,53.98,No
18 years old or older,Female,12th grade,1.55,49.9,No
17 years old,Female,12th grade,1.63,98.43,No
14 years old,Male,9th grade,1.57,49.44,No
15 years old,Female,10th grade,1.5,53.52,No
14 years old,Male,9th grade,1.75,58.97,No
15 years old,Female,9th grade,1.63,49.44,No
15 years old,Female,9th grade,1.65,58.97,No
16 years old,Female,10th grade,1.57,77.11,No
14 years old,Female,9th grade,1.6,42.18,No
15 years old,Male,9th grade,1.65,54.43,Yes
17 years old,Female,11th grade,1.73,81.65,No
15 years old,Female,9th grade,1.57,47.17,No
14 years old,Male,9th grade,1.65,51.26,No
17 years old,Male,12th grade,1.88,70.31,No
15 years old,Male,9th grade,1.75,70.31,No
16 years old,Female,11th grade,1.65,69.4,No
14 years old,Female,9th grade,1.7,63.5,No
17 years old,Female,11th grade,1.75,72.58,No
15 years old,Female,10th grade,1.55,52.62,No
15 years old,Male,10th grade,1.78,72.58,No
18 years old or older,Female,12th grade,1.52,53.52,No
17 years old,Female,12th grade,1.68,67.13,No
17 years old,Female,12th grade,1.6,58.06,No
17 years old,Female,12th grade,1.6,104.33,No
16 years old,Male,11th grade,1.63,54.43,No
15 years old,Male,9th grade,1.6,54.89,Yes
15 years old,Male,9th grade,1.78,95.26,No
17 years old,Male,12th grade,1.83,64.86,No
15 years old,Female,9th grade,1.65,88.91,No
16 years old,Female,11th grade,1.65,77.11,No
15 years old,Female,10th grade,1.65,63.5,No
18 years old or older,Female,12th grade,1.68,54.43,No
17 years old,Female,12th grade,1.68,55.34,No
16 years old,Male,10th grade,1.75,66.68,No
15 years old,Female,10th grade,1.7,88.91,No
16 years old,Male,11th grade,1.78,68.04,No
18 years old or older,Male,12th grade,1.63,56.7,Yes
15 years old,Female,9th grade,1.57,52.16,No
16 years old,Female,11th grade,1.57,55.79,No
15 years old,Male,10th grade,1.73,62.6,No
14 years old,Female,9th grade,1.7,56.7,No
16 years old,Female,10th grade,1.65,62.14,No
16 years old,Female,11th grade,1.63,93.44,No
16 years old,Female,11th grade,1.7,81.65,No
15 years old,Male,10th grade,1.73,60.78,No
15 years old,Male,9th grade,1.73,58.51,No
16 years old,Female,10th grade,1.6,47.17,No
17 years old,Male,12th grade,1.6,47.63,Yes
17 years old,Female,11th grade,1.8,74.84,No
15 years old,Female,9th grade,1.55,54.43,No
15 years old,Male,9th grade,1.73,61.24,No
16 years old,Female,11th grade,1.5,52.16,No
14 years old,Female,9th grade,1.57,52.62,No
16 years old,Male,10th grade,1.78,65.77,No
15 years old,Male,9th grade,1.73,68.04,No
16 years old,Male,10th grade,1.68,40.82,No
15 years old,Male,10th grade,1.8,83.92,No
17 years old,Female,11th grade,1.65,63.5,No
15 years old,Male,9th grade,1.83,62.6,No
15 years old,Female,9th grade,1.55,57.61,No
16 years old,Female,10th grade,1.6,50.8,No
14 years old,Male,9th grade,1.8,58.97,No
17 years old,Female,11th grade,1.7,62.14,No
16 years old,Female,10th grade,1.55,62.14,No
15 years old,Female,10th grade,1.63,45.36,No
15 years old,Female,10th grade,1.7,45.36,No
15 years old,Female,10th grade,1.63,56.7,Yes
15 years old,Female,9th grade,1.6,53.07,Yes
14 years old,Female,9th grade,1.63,63.5,No
16 years old,Male,10th grade,1.6,63.5,No
14 years old,Female,9th grade,1.63,68.04,Yes
17 years old,Female,12th grade,1.55,72.58,No
16 years old,Female,10th grade,1.63,104.33,Yes
15 years old,Male,10th grade,1.8,95.26,Yes
14 years old,Male,9th grade,1.83,92.99,No
14 years old,Male,9th grade,1.65,68.04,Yes
17 years old,Female,12th grade,1.63,62.14,No
17 years old,Male,11th grade,1.68,57.15,No
17 years old,Male,12th grade,1.75,64.86,No
16 years old,Male,10th grade,1.75,69.85,No
16 years old,Male,11th grade,1.7,56.7,No
17 years old,Male,11th grade,1.78,90.72,No
15 years old,Female,9th grade,1.73,81.65,No
14 years old,Male,9th grade,1.93,131.54,Yes
17 years old,Male,11th grade,1.78,72.58,No
17 years old,Female,11th grade,1.7,71.22,No
17 years old,Male,12th grade,1.63,61.24,No
15 years old,Male,10th grade,1.63,53.52,No
16 years old,Female,10th grade,1.55,72.58,No
16 years old,Male,11th grade,1.9,104.33,No
14 years old,Female,9th grade,1.65,50.35,No
17 years old,Female,12th grade,1.7,58.97,No
17 years old,Male,11th grade,1.73,79.38,No
17 years old,Male,11th grade,1.73,72.58,No
17 years old,Female,11th grade,1.63,54.43,Yes
18 years old or older,Male,12th grade,1.73,94.8,No
16 years old,Female,10th grade,1.6,53.52,No
15 years old,Male,10th grade,1.83,98.88,No
15 years old,Female,9th grade,1.5,58.97,Yes
14 years old,Female,9th grade,1.65,68.04,No
14 years old,Female,9th grade,1.5,38.1,Yes
14 years old,Female,9th grade,1.63,58.97,No
15 years old,Female,10th grade,1.4,58.97,No
16 years old,Male,10th grade,1.8,75.3,No
16 years old,Male,11th grade,1.78,71.67,No
17 years old,Male,11th grade,1.8,90.72,No
15 years old,Female,10th grade,1.68,84.82,Yes
14 years old,Male,9th grade,1.7,64.41,No
17 years old,Female,11th grade,1.65,54.43,No
14 years old,Female,9th grade,1.47,53.07,No
14 years old,Male,9th grade,1.65,56.7,No
16 years old,Female,11th grade,1.57,72.58,Yes
16 years old,Male,10th grade,1.75,90.72,No
14 years old,Female,9th grade,1.6,52.62,No
16 years old,Male,10th grade,1.85,86.18,No
15 years old,Female,9th grade,1.52,43.55,No
17 years old,Male,12th grade,1.75,158.76,Yes
15 years old,Female,10th grade,1.65,50.35,No
14 years old,Male,9th grade,1.78,64.86,No
17 years old,Female,11th grade,1.55,68.04,No
15 years old,Male,10th grade,1.78,56.7,No
17 years old,Male,11th grade,1.88,90.27,No
14 years old,Male,9th grade,1.85,77.11,No
18 years old or older,Male,12th grade,1.75,72.58,No
15 years old,Female,9th grade,1.68,54.43,No
15 years old,Female,10th grade,1.47,49.9,No
15 years old,Male,9th grade,1.6,80.74,No
14 years old,Male,9th grade,1.73,68.04,No
14 years old,Male,9th grade,1.63,52.16,No
15 years old,Female,9th grade,1.63,68.95,No
15 years old,Female,10th grade,1.68,63.5,No
17 years old,Male,11th grade,1.6,71.67,No
17 years old,Male,11th grade,1.52,54.43,No
15 years old,Female,9th grade,1.68,63.5,No
18 years old or older,Female,12th grade,1.7,63.5,No
18 years old or older,Female,12th grade,1.5,48.99,No
18 years old or older,Female,12th grade,1.7,51.71,No
16 years old,Male,11th grade,1.78,131.09,No
15 years old,Male,9th grade,1.63,45.36,No
15 years old,Male,9th grade,1.83,83.92,No
16 years old,Male,10th grade,1.85,76.2,No
16 years old,Male,10th grade,1.8,81.65,No
15 years old,Male,10th grade,1.7,63.5,No
15 years old,Female,9th grade,1.57,53.52,Yes
16 years old,Female,10th grade,1.75,59.88,No
16 years old,Male,11th grade,1.83,77.11,No
17 years old,Female,12th grade,1.75,113.4,Yes
14 years old,Female,9th grade,1.6,50.8,No
16 years old,Female,11th grade,1.63,68.04,No
18 years old or older,Female,12th grade,1.6,72.58,No
16 years old,Male,10th grade,1.73,61.24,No
16 years old,Female,10th grade,1.52,58.06,No
15 years old,Male,9th grade,1.78,74.39,No
17 years old,Female,9th grade,1.45,83.01,No
15 years old,Male,10th grade,1.78,70.31,No
16 years old,Male,11th grade,1.73,58.97,Yes
18 years old or older,Female,12th grade,1.57,46.27,No
14 years old,Male,9th grade,1.65,58.06,No
16 years old,Female,11th grade,1.63,75.3,No
18 years old or older,Male,12th grade,1.7,72.58,No
17 years old,Male,11th grade,1.85,61.24,No
15 years old,Female,10th grade,1.65,54.43,Yes
15 years old,Male,9th grade,1.83,77.11,No
16 years old,Female,11th grade,1.68,81.65,Yes
16 years old,Male,11th grade,1.68,68.04,No
16 years old,Male,11th grade,1.7,52.16,No
15 years old,Female,9th grade,1.52,38.1,No
15 years old,Male,9th grade,1.78,113.4,No
16 years old,Female,10th grade,1.5,64.41,No
15 years old,Female,10th grade,1.63,54.43,No
15 years old,Female,9th grade,1.57,69.4,No
18 years old or older,Male,12th grade,1.93,85.28,Yes
15 years old,Male,9th grade,1.7,63.5,No
15 years old,Female,9th grade,1.6,74.84,No
15 years old,Male,9th grade,1.8,96.16,No
14 years old,Male,9th grade,1.85,90.72,Yes
17 years old,Male,12th grade,1.75,92.99,No
15 years old,Male,10th grade,1.68,67.59,No
15 years old,Male,9th grade,1.68,52.16,Yes
15 years old,Male,9th grade,1.7,77.11,No
15 years old,Male,10th grade,1.68,56.7,No
16 years old,Female,11th grade,1.6,58.97,No
15 years old,Female,9th grade,1.63,52.16,Yes
14 years old,Female,9th grade,1.57,70.76,No
15 years old,Male,9th grade,1.83,102.06,No
16 years old,Female,11th grade,1.52,52.16,No
17 years old,Female,11th grade,1.55,64.41,No
16 years old,Female,10th grade,1.63,79.38,No
16 years old,Female,10th grade,1.5,49.9,No
15 years old,Male,9th grade,1.65,70.31,No
15 years old,Female,10th grade,1.55,52.62,No
16 years old,Male,10th grade,1.73,69.85,No
16 years old,Female,11th grade,1.65,97.07,Yes
14 years old,Male,9th grade,1.83,61.24,No
15 years old,Female,9th grade,1.57,60.33,No
16 years old,Female,11th grade,1.6,56.25,No
15 years old,Male,10th grade,1.65,40.82,No
14 years old,Male,9th grade,1.57,53.98,No
17 years old,Female,11th grade,1.68,83.01,No
15 years old,Male,9th grade,1.85,72.58,No
14 years old,Male,9th grade,1.45,90.27,No
16 years old,Female,11th grade,1.65,81.65,No
14 years old,Male,9th grade,1.73,87.54,No
18 years old or older,Male,12th grade,1.8,71.67,No
16 years old,Female,10th grade,1.52,54.43,Yes
16 years old,Male,10th grade,1.6,51.26,No
16 years old,Female,11th grade,1.57,47.63,No
14 years old,Female,9th grade,1.73,56.7,No
17 years old,Female,11th grade,1.5,49.9,No
17 years old,Female,11th grade,1.85,58.97,Yes
17 years old,Female,11th grade,1.68,65.77,No
16 years old,Male,10th grade,1.7,63.5,No
15 years old,Female,9th grade,1.55,62.6,No
17 years old,Male,11th grade,1.65,54.43,No
15 years old,Female,10th grade,1.68,58.97,No
14 years old,Male,9th grade,1.7,56.7,No
14 years old,Female,9th grade,1.57,65.77,No
15 years old,Female,10th grade,1.52,43.09,Yes
15 years old,Male,9th grade,1.88,89.36,Yes
16 years old,Female,10th grade,1.7,52.16,No
17 years old,Female,11th grade,1.75,109.77,No
14 years old,Male,9th grade,1.7,64.86,No
15 years old,Female,10th grade,1.57,61.24,No
17 years old,Male,11th grade,1.75,68.04,No
14 years old,Female,9th grade,1.7,58.97,No
16 years old,Female,11th grade,1.6,56.7,No
14 years old,Female,9th grade,1.52,61.24,No
15 years old,Male,9th grade,1.78,88.45,No
18 years old or older,Female,12th grade,1.7,74.84,No
18 years old or older,Female,12th grade,1.68,99.79,No
15 years old,Female,10th grade,1.65,48.99,No
17 years old,Female,11th grade,1.63,90.72,No
15 years old,Female,9th grade,1.68,72.58,No
15 years old,Male,10th grade,1.68,54.43,No
15 years old,Male,9th grade,1.73,142.88,No
15 years old,Female,9th grade,1.73,65.77,No
16 years old,Male,11th grade,1.78,72.58,No
16 years old,Female,11th grade,1.6,52.16,No
15 years old,Male,9th grade,1.73,56.7,No
16 years old,Male,10th grade,1.83,90.72,No
15 years old,Female,9th grade,1.6,49.9,No
15 years old,Male,9th grade,1.73,90.72,No
18 years old or older,Male,12th grade,1.7,93.44,No
17 years old,Male,11th grade,1.6,88.45,No
17 years old,Female,11th grade,1.65,51.26,No
16 years old,Female,11th grade,1.6,73.94,No
15 years old,Male,10th grade,1.75,83.01,No
15 years old,Male,10th grade,1.83,77.11,No
18 years old or older,Female,12th grade,1.57,49.9,No
15 years old,Male,10th grade,1.68,62.6,No
15 years old,Male,9th grade,1.68,64.41,No
14 years old,Female,9th grade,1.6,52.16,No
14 years old,Female,9th grade,1.68,52.16,No
15 years old,Female,9th grade,1.73,61.24,No
16 years old,Male,10th grade,1.8,58.97,No
15 years old,Female,10th grade,1.7,74.84,No
16 years old,Male,11th grade,1.85,129.28,No
14 years old,Female,9th grade,1.7,81.65,Yes
14 years old,Male,9th grade,1.63,63.5,No
18 years old or older,Male,12th grade,1.8,95.26,No
14 years old,Female,9th grade,1.73,54.43,Yes
15 years old,Male,9th grade,1.73,63.5,No
17 years old,Male,11th grade,1.6,54.43,No
17 years old,Female,11th grade,1.52,64.41,No
16 years old,Male,10th grade,1.75,64.41,Yes
15 years old,Male,10th grade,1.7,57.61,No
15 years old,Male,9th grade,1.57,41.73,No
15 years old,Male,9th grade,1.63,77.11,No
17 years old,Female,11th grade,1.63,99.79,No
14 years old,Female,9th grade,1.65,63.05,No
16 years old,Male,11th grade,1.75,65.77,No
15 years old,Female,9th grade,1.68,54.43,Yes
14 years old,Female,9th grade,1.7,61.69,No
14 years old,Male,9th grade,1.78,95.26,No
17 years old,Female,12th grade,1.5,58.97,No
15 years old,Female,10th grade,1.6,41.73,No
14 years old,Female,9th grade,1.73,72.58,No
14 years old,Female,9th grade,1.55,56.7,No
16 years old,Female,10th grade,1.6,48.99,No
16 years old,Male,10th grade,1.83,74.84,No
16 years old,Male,10th grade,1.73,58.97,No
16 years old,Male,10th grade,1.73,70.31,No
15 years old,Female,10th grade,1.5,46.72,Yes
17 years old,Female,12th grade,1.63,80.74,No
