Age,Sex,Grade,Height,Weight,Bullied_at_School
17 years old,Female,12th grade,1.65,48.54,No
18 years old or older,Female,12th grade,1.65,56.7,No
14 years old,Male,9th grade,1.75,56.7,No
15 years old,Female,9th grade,1.63,63.5,No
16 years old,Female,11th grade,1.57,61.24,No
17 years old,Male,12th grade,1.78,92.99,No
16 years old,Male,11th grade,1.75,83.92,No
16 years old,Male,10th grade,1.83,82.56,Yes
14 years old,Male,10th grade,1.7,50.8,No
18 years old or older,Male,12th grade,1.83,94.35,No
16 years old,Male,11th grade,1.85,105.24,No
15 years old,Female,10th grade,1.5,77.11,Yes
18 years old or older,Male,12th grade,1.9,88.45,No
17 years old,Female,12th grade,1.6,56.7,No
15 years old,Female,9th grade,1.68,44.45,No
17 years old,Female,11th grade,1.68,77.11,Yes
16 years old,Male,11th grade,1.83,72.58,Yes
16 years old,Female,11th grade,1.7,63.5,No
17 years old,Male,12th grade,1.73,90.72,No
17 years old,Male,12th grade,1.75,79.38,No
15 years old,Male,9th grade,1.7,104.33,No
16 years old,Male,11th grade,1.9,90.72,No
16 years old,Male,10th grade,1.73,90.72,Yes
18 years old or older,Female,12th grade,1.6,76.2,Yes
17 years old,Male,12th grade,1.73,63.96,No
15 years old,Female,9th grade,1.57,68.95,Yes
14 years old,Female,9th grade,1.6,42.64,No
15 years old,Female,10th grade,1.6,46.27,No
16 years old,Female,10th grade,1.55,52.16,Yes
17 years old,Male,12th grade,1.73,58.97,No
16 years old,Female,11th grade,1.57,79.38,No
16 years old,Male,10th grade,1.83,127.01,No
16 years old,Female,10th grade,1.73,93.9,No
17 years old,Male,12th grade,1.85,83.92,No
17 years old,Female,12th grade,1.52,44.45,Yes
14 years old,Female,9th grade,1.6,71.22,No
