County,Age Range,Population
Richland,50-59,15950
Richland,60-69,16408
Richland,70-79,10713
Richland,80+,6122
Ross,0-19,18043
Ross,20-29,9266
Ross,30-39,9713
Ross,40-49,10403
Ross,50-59,10996
Ross,60-69,9968
Ross,70-79,5886
Ross,80+,2818
Sandusky,0-19,14411
Sandusky,20-29,6531
Sandusky,30-39,6958
Sandusky,40-49,7100
Sandusky,50-59,8109
Sandusky,60-69,8299
Sandusky,70-79,4902
Sandusky,80+,2586
Scioto,0-19,18065
Scioto,20-29,9131
Scioto,30-39,9077
Scioto,40-49,9273
Scioto,50-59,9688
Scioto,60-69,9657
Scioto,70-79,5900
Scioto,80+,3217
Seneca,0-19,14012
Seneca,20-29,7046
Seneca,30-39,6272
Seneca,40-49,6524
Seneca,50-59,7042
Seneca,60-69,7469
Seneca,70-79,4336
Seneca,80+,2368
Shelby,0-19,13102
Shelby,20-29,5672
Shelby,30-39,5414
Shelby,40-49,5752
Shelby,50-59,6724
Shelby,60-69,6178
Shelby,70-79,3527
Shelby,80+,1861
Stark,0-19,89997
Stark,20-29,45036
Stark,30-39,44405
Stark,40-49,43454
Stark,50-59,50860
Stark,60-69,51079
Stark,70-79,32452
Stark,80+,17570
Summit,0-19,125942
Summit,20-29,68414
Summit,30-39,68936
Summit,40-49,64189
Summit,50-59,74671
Summit,60-69,72359
Summit,70-79,43099
Summit,80+,22818
Trumbull,0-19,45718
Trumbull,20-29,23535
Trumbull,30-39,22242
Trumbull,40-49,23084
Trumbull,50-59,27859
Trumbull,60-69,29693
Trumbull,70-79,19513
Trumbull,80+,10333
Tuscarawas,0-19,23646
Tuscarawas,20-29,10659
Tuscarawas,30-39,10908
Tuscarawas,40-49,10928
Tuscarawas,50-59,12125
Tuscarawas,60-69,12617
Tuscarawas,70-79,7939
Tuscarawas,80+,4441
Union,0-19,16916
Union,20-29,7336
Union,30-39,9108
Union,40-49,9336
Union,50-59,8543
Union,60-69,6465
Union,70-79,3510
Union,80+,1570
Van Wert,0-19,7415
Van Wert,20-29,3374
Van Wert,30-39,3293
Van Wert,40-49,3452
Van Wert,50-59,3769
Van Wert,60-69,3879
Van Wert,70-79,2399
Van Wert,80+,1350
Vinton,0-19,3073
Vinton,20-29,1443
Vinton,30-39,1355
Vinton,40-49,1686
Vinton,50-59,1880
Vinton,60-69,1865
Vinton,70-79,1036
Vinton,80+,462
Warren,0-19,64767
Warren,20-29,26203
